customer_id,snapshot_year,event_type,exposure_at_default,recovered_amount,annual_income,credit_score_internal,rating_grade,default_flag,batch_run_date,recovery_rate,lgd,segment
1001,2024,recovery,976265,408031.0,209527,610,4,1,2024-01-16,0.4179510686135424,0.5820489313864576,Retail
1002,2024,recovery,430642,811273.0,670856,637,7,1,2024-03-01,1.8838687355158112,-0.8838687355158112,Retail
1004,2024,recovery,464860,170641.0,735286,503,6,1,2024-03-16,0.3670804113066299,0.6329195886933701,Retail
1005,2024,recovery,317412,340109.0,923018,625,6,1,2024-03-31,1.071506433279145,-0.071506433279145,Retail
1006,2024,recovery,685171,839916.0,287174,712,7,1,2024-03-01,1.2258487297331615,-0.2258487297331615,Retail
1007,2024,recovery,641055,83281.0,429942,640,7,1,2024-03-01,0.1299124100116214,0.8700875899883785,Retail
1009,2024,recovery,388953,569631.0,582617,595,7,1,2024-03-16,1.464523991330572,-0.4645239913305721,Retail
1010,2024,recovery,451926,118214.0,593149,601,7,1,2024-03-01,0.2615782229834087,0.7384217770165913,Retail
1011,2024,recovery,595440,567590.0,713720,573,2,1,2024-03-31,0.9532278651081552,0.0467721348918447,Corporate
1012,2024,recovery,402043,134039.0,701213,555,4,1,2024-02-15,0.3333946866379964,0.6666053133620036,Retail
1013,2024,recovery,439054,33796.0,738285,628,2,1,2024-03-01,0.0769745862695704,0.9230254137304296,Corporate
1016,2024,recovery,395868,469024.0,1044236,718,6,1,2024-01-31,1.184798973395172,-0.184798973395172,Retail
1018,2024,recovery,997064,795323.0,297571,659,5,1,2024-03-31,0.7976649442763954,0.2023350557236045,Retail
1021,2024,recovery,175348,380289.0,276216,641,6,1,2024-03-01,2.168767251408628,-1.1687672514086276,Retail
1022,2024,recovery,867539,1358936.0237420746,220706,615,6,1,2024-03-31,1.566426435862912,-0.5664264358629119,Retail
1023,2024,recovery,907630,373837.0,277049,592,1,1,2024-02-15,0.4118825953306964,0.5881174046693036,Corporate
1024,2024,recovery,783306,344424.0,1115361,659,3,1,2024-01-31,0.4397055556832195,0.5602944443167804,Corporate
1025,2024,recovery,839354,432264.0,375196,738,4,1,2024-01-01,0.5149960564910634,0.4850039435089366,Retail
1026,2024,recovery,817479,730431.0,1118245,550,4,1,2024-02-15,0.8935165306998711,0.1064834693001288,Retail
1028,2024,recovery,666922,288584.0,742650,612,2,1,2024-03-01,0.432710271965837,0.5672897280341629,Corporate
1032,2024,recovery,824918,949139.0,319209,655,4,1,2024-01-01,1.150585876414383,-0.150585876414383,Retail
1036,2024,recovery,621866,257838.0,913510,685,3,1,2024-03-31,0.4146198698755037,0.5853801301244963,Corporate
1037,2024,recovery,107943,253720.0,582555,609,3,1,2024-01-01,2.350499800820804,-1.3504998008208036,Corporate
1038,2024,recovery,363575,187831.0,546676,691,1,1,2024-03-01,0.5166224300350685,0.4833775699649315,Corporate
1039,2024,recovery,518761,333260.0,1025770,583,2,1,2024-01-31,0.642415293362454,0.357584706637546,Corporate
1040,2024,recovery,822822,417035.0,765048,633,1,1,2024-01-01,0.5068350141342842,0.4931649858657158,Corporate
1043,2024,recovery,233018,754303.0,1108357,749,7,1,2024-01-16,3.237101854792334,-2.237101854792334,Retail
1044,2024,recovery,153441,480476.0,983028,528,3,1,2024-01-16,3.131340384903644,-2.131340384903644,Corporate
1045,2024,recovery,862167,311929.0,620947,558,2,1,2024-01-01,0.3617964965024177,0.6382035034975823,Corporate
1048,2024,recovery,852644,895629.0,1001828,686,1,1,2024-03-16,1.0504137717499915,-0.0504137717499917,Corporate
1049,2024,recovery,204720,293916.0,1090199,559,4,1,2024-03-31,1.4356975381008206,-0.4356975381008205,Retail
1051,2024,recovery,468904,526691.0,467819,729,6,1,2024-01-01,1.1232384453960726,-0.1232384453960726,Retail
1052,2024,recovery,841898,377531.0,1161637,715,5,1,2024-01-16,0.4484284319478132,0.5515715680521869,Retail
1053,2024,recovery,265961,302896.0,870773,555,1,1,2024-01-01,1.1388737446467716,-0.1388737446467716,Corporate
1054,2024,recovery,936081,502929.0,505289,545,5,1,2024-01-16,0.5372708131027123,0.4627291868972877,Retail
1055,2024,recovery,289219,491029.0,478659,550,3,1,2024-03-16,1.697775733959387,-0.6977757339593871,Corporate
1056,2024,recovery,987524,451238.0,382886,742,7,1,2024-03-01,0.4569387680704469,0.5430612319295531,Retail
1058,2024,recovery,665541,592678.0,295910,678,2,1,2024-01-16,0.8905206441075756,0.1094793558924244,Corporate
1060,2024,recovery,190721,369801.0,852528,737,4,1,2024-03-16,1.9389631975503483,-0.9389631975503484,Retail
1062,2024,recovery,966269,693930.0,595268,515,6,1,2024-03-31,0.7181540544092794,0.2818459455907206,Retail
1064,2024,recovery,637214,708807.4349020738,1168746,665,2,1,2024-02-15,1.1123538323107682,-0.1123538323107682,Corporate
1065,2024,recovery,496429,887955.0,966109,664,4,1,2024-03-01,1.7886847867469466,-0.7886847867469466,Retail
1066,2024,recovery,126620,397356.0,693206,514,7,1,2024-03-31,3.13817722318749,-2.13817722318749,Retail
1067,2024,recovery,952301,337263.0,963658,612,1,1,2024-03-31,0.3541558813862424,0.6458441186137576,Corporate
1068,2024,recovery,327870,727595.0,950636,671,7,1,2024-01-31,2.2191569829505595,-1.2191569829505595,Retail
1069,2024,recovery,342720,140249.0,446896,729,7,1,2024-01-31,0.4092232726423903,0.5907767273576097,Retail
1071,2024,recovery,833397,824582.0,1157256,687,2,1,2024-03-31,0.9894228080974612,0.0105771919025386,Corporate
1072,2024,recovery,585705,270953.0,563095,557,4,1,2024-03-31,0.4626100169880742,0.5373899830119258,Retail
1073,2024,recovery,161353,852847.0,612546,704,1,1,2024-03-01,5.285597416843815,-4.285597416843815,Corporate
1074,2024,recovery,603646,185276.0,732099,656,1,1,2024-03-31,0.3069282327721876,0.6930717672278124,Corporate
1075,2024,recovery,209660,581048.0,283321,698,3,1,2024-03-31,2.771382237908996,-1.7713822379089956,Corporate
1076,2024,recovery,882804,55723.0,1159612,634,6,1,2024-03-31,0.0631204661510369,0.936879533848963,Retail
1077,2024,recovery,281172,670050.0,619861,544,5,1,2024-03-16,2.38306090222355,-1.38306090222355,Retail
1078,2024,recovery,230877,642485.0,539961,652,4,1,2024-02-15,2.78280209808686,-1.7828020980868602,Retail
1080,2024,recovery,391196,36858.0,621993,506,3,1,2024-02-15,0.0942187547929938,0.9057812452070062,Corporate
1081,2024,recovery,266308,656979.0,812722,709,1,1,2024-03-31,2.46698935067666,-1.46698935067666,Corporate
1082,2024,recovery,259331,31366.0,1007889,563,4,1,2024-01-16,0.1209496743543965,0.8790503256456035,Retail
1086,2024,recovery,540769,337744.0,1045871,512,5,1,2024-03-16,0.6245624286895144,0.3754375713104856,Retail
1087,2024,recovery,252472,877879.0,523356,741,4,1,2024-01-31,3.4771340980385945,-2.4771340980385945,Retail
1089,2024,recovery,310997,322283.0,338741,537,5,1,2024-02-15,1.0362897391293164,-0.0362897391293164,Retail
1090,2024,recovery,625407,131541.0,952380,731,3,1,2024-02-15,0.2103286339935434,0.7896713660064566,Corporate
1091,2024,recovery,495799,512661.0,1017567,744,4,1,2024-03-16,1.034009749918818,-0.0340097499188178,Retail
1092,2024,recovery,513855,874070.0089101706,767599,694,3,1,2024-03-01,1.701005164706329,-0.7010051647063289,Corporate
1093,2024,recovery,483936,777144.0,937272,535,2,1,2024-02-15,1.6058817694901806,-0.6058817694901806,Corporate
1094,2024,recovery,654237,299708.0,941360,731,4,1,2024-01-31,0.4581031033096569,0.541896896690343,Retail
1095,2024,recovery,193389,743935.0,865055,733,2,1,2024-03-16,3.846832032845715,-2.846832032845715,Corporate
1096,2024,recovery,991293,801962.0,203093,618,7,1,2024-02-15,0.8090060153758778,0.1909939846241222,Retail
1097,2024,recovery,206657,159006.0,678524,746,1,1,2024-02-15,0.7694198599611918,0.2305801400388082,Corporate
1098,2024,recovery,308343,758234.0,1147157,519,3,1,2024-03-01,2.4590602024368966,-1.4590602024368966,Corporate
1100,2024,recovery,787975,274819.0,515345,527,1,1,2024-01-31,0.3487661410577746,0.6512338589422253,Corporate
